State,Delta,Theta,Alpha,Beta,Gamma
Baseline,5310.75,11775.63,12543.74,24005.92,307076.17
Baseline,4512.54,6732.27,12032.47,19427.09,298395.06
Baseline,9081.72,36300.34,18754.67,34729.61,312956.08
Baseline,14283.87,13328.99,6713.75,28745.79,297213.21
Baseline,10825.46,14675.53,7622.85,14656.09,283469.46
Baseline,10167.25,9239.77,8525.08,20706.78,308873.63
Baseline,8893.72,10318.01,5134.03,20487.82,303462.88
Baseline,10522.59,8917.43,10129.03,20236.83,287205.44
Baseline,6562.62,13967.69,6442.67,21997.78,293784.84
Baseline,2890.05,9496.39,8415.19,11300.22,279746.94
Baseline,8070.74,12431.77,9587.56,19256.07,290178.80
Baseline,11906.27,9740.04,8637.47,19621.02,284219.32
Baseline,1245.25,3549.51,8360.63,18691.74,292402.07
Baseline,3258.80,10071.10,9487.65,20375.75,291424.25
Baseline,3641.65,9443.27,6965.37,20352.21,272479.12
Baseline,3255.63,6635.06,9272.00,11551.41,266969.54
Baseline,10223.41,8648.24,9091.06,14956.89,295273.81
Baseline,5089.82,4306.00,6790.32,14053.27,285872.70
Baseline,5054.73,12183.99,15310.79,13263.15,283450.84
Baseline,4253.93,6207.59,7749.29,13879.18,291292.41
Baseline,30630.65,34688.11,21165.99,28603.35,324255.48
Baseline,6787.33,8549.66,9957.70,18415.54,294914.70
Baseline,5451.39,8578.76,8324.75,15514.15,283143.29
Baseline,5990.32,9583.57,6732.26,12683.49,282324.05
Baseline,26559.15,43465.32,22042.04,27610.18,362294.41
Baseline,2532.53,7931.15,6685.63,14637.43,282787.88
Baseline,14974.93,21062.79,24625.05,49157.55,307478.57
Baseline,101593.91,26960.05,22700.57,20831.44,354459.64
Baseline,8252.14,12125.42,11652.53,26255.67,324054.34
Baseline,9749.62,5333.41,3516.32,14089.59,302202.35
Baseline,66484.18,23437.14,24765.96,29659.36,342916.59
Baseline,4384.67,9011.53,5775.63,15145.56,256567.10
Baseline,69019.09,72373.35,24777.95,25767.71,262328.00
Baseline,57256.88,96192.81,43897.47,61044.57,404008.61
Baseline,83005.42,101035.30,66833.19,80283.47,413186.07
Baseline,29975.34,29425.28,10480.15,32248.36,306838.42
Baseline,8833.33,15729.89,11425.31,26730.53,284154.83
Baseline,6598.37,9524.82,6647.34,18598.95,259220.68
Baseline,7682.39,7107.28,4654.00,14016.44,258776.67
Baseline,4638.35,13938.29,8041.17,16120.32,261445.47
Baseline,8007.25,8590.84,6235.99,18583.43,260922.32
Baseline,10067.01,13318.43,4470.53,14366.30,260468.91
Baseline,6046.82,7955.72,5742.38,12562.13,240912.22
Baseline,7296.46,11221.00,12282.25,15598.44,251555.72
Baseline,10393.44,6004.52,5513.84,12670.82,255684.87
Baseline,4005.35,4959.02,5655.92,14466.00,248321.08
Baseline,6293.06,5757.61,7623.97,13954.23,248357.93
Baseline,9775.38,7488.86,6266.66,13373.24,225234.38
Baseline,4781.80,5453.45,2346.95,14476.76,250021.03
Baseline,4681.09,8703.06,4081.48,9809.04,252000.03
Baseline,6199.83,9917.69,6373.15,15416.55,245227.47
Baseline,2774.67,7662.43,5643.21,15466.09,247330.31
Baseline,8827.61,12052.08,6429.01,16938.75,270490.30
Baseline,6611.63,9098.14,6457.69,14041.57,263874.81
Baseline,14875.59,12977.55,13394.04,24201.06,282792.52
Baseline,13334.37,11309.08,9906.56,20260.94,243690.50
Baseline,12353.88,10900.68,10868.65,16361.50,276595.52
Baseline,3190.73,8596.86,9220.18,23777.30,271216.12
